size,exTime,gflops
2000,0.016533,,967.738853
2000,0.016614,,963.039739
2000,0.016876,,948.118595
2000,0.016729,,956.424522
2000,0.016416,,974.653704
2500,0.026462,,1180.917819
2500,0.028155,,1109.929909
2500,0.027201,,1148.836154
2500,0.026491,,1179.640485
2500,0.026348,,1186.050618
3000,0.040839,,1322.257355
3000,0.040702,,1326.717566
3000,0.040607,,1329.806784
3000,0.039915,,1352.860048
3000,0.040538,,1332.090148
3500,0.062942,,1362.362733
3500,0.061984,,1383.429295
3500,0.061994,,1383.194023
3500,0.061885,,1385.637332
3500,0.062695,,1367.739110
4000,0.087172,,1468.359783
4000,0.087046,,1470.483406
4000,0.086657,,1477.091051
4000,0.087243,,1467.160568
4000,0.086918,,1472.653266
4500,0.121560,,1499.260044
4500,0.121959,,1494.354476
4500,0.121888,,1495.221089
4500,0.121566,,1499.188439
4500,0.121451,,1500.607394
5000,0.169439,,1475.459987
5000,0.167797,,1489.898237
5000,0.167301,,1494.310011
5000,0.167799,,1489.876154
5000,0.167128,,1495.856131
5500,0.214514,,1551.184092
5500,0.214161,,1553.740416
5500,0.216474,,1537.133749
5500,0.213777,,1556.531750
5500,0.215091,,1547.021237
6000,0.278767,,1549.679546
6000,0.279618,,1544.964900
6000,0.277716,,1555.547975
6000,0.277796,,1555.095690
6000,0.278055,,1553.650749
6500,0.346482,,1585.221241
6500,0.346309,,1586.010769
6500,0.345870,,1588.022419
6500,0.356103,,1542.388729
6500,0.346153,,1586.726193
7000,0.433686,,1581.789269
7000,0.431520,,1589.728563
7000,0.431359,,1590.321284
7000,0.431035,,1591.519456
7000,0.431852,,1588.505511
7500,0.525366,,1606.023951
7500,0.525195,,1606.547339
7500,0.525774,,1604.777351
7500,0.525371,,1606.007456
7500,0.524730,,1607.970659
8000,0.634120,,1614.835420
8000,0.632750,,1618.331416
8000,0.633720,,1615.856269
8000,0.633678,,1615.962852
8000,0.632900,,1617.948660
8500,0.763490,,1608.730177
8500,0.762659,,1610.484185
8500,0.764303,,1607.020684
8500,0.762949,,1609.872362
8500,0.762966,,1609.836475
9000,0.900129,,1619.767203
9000,0.900868,,1618.439687
9000,0.900771,,1618.613120
9000,0.900144,,1619.741164
9000,0.899673,,1620.588596
9500,1.062642,,1613.666059
9500,1.061502,,1615.399370
9500,1.060592,,1616.786130
9500,1.061846,,1614.877056
9500,1.060028,,1617.645296
10000,1.243533,,1608.321407
10000,1.243940,,1607.794812
10000,1.245389,,1605.924202
10000,1.244846,,1606.624603
10000,1.245954,,1605.195764
10500,1.423715,,1626.202964
10500,1.425573,,1624.083521
10500,1.440441,,1607.320703
10500,1.423657,,1626.269276
10500,1.423437,,1626.521337
11000,1.643063,,1620.144764
11000,1.637216,,1625.931127
11000,1.644060,,1619.162193
11000,1.639146,,1624.016153
11000,1.643970,,1619.250537
11500,1.875219,,1622.077155
11500,1.922250,,1582.390294
11500,1.874838,,1622.407039
11500,1.893153,,1606.711416
11500,1.874361,,1622.819476
12000,2.144908,,1611.258252
12000,2.140090,,1614.885726
12000,2.142244,,1613.261331
12000,2.139470,,1615.353420
12000,2.142424,,1613.125724
12500,2.409740,,1621.025747
12500,2.416451,,1616.523377
12500,2.407946,,1622.233327
12500,2.407137,,1622.778733
12500,2.408501,,1621.859638
13000,2.710432,,1621.143821
13000,2.713684,,1619.200841
13000,2.715315,,1618.228242
13000,2.708676,,1622.194733
13000,2.710795,,1620.926870
13500,3.022020,,1628.298470
13500,3.018440,,1630.229757
13500,3.019325,,1629.751580
13500,3.059718,,1608.236423
13500,3.021132,,1628.776906
14000,3.364569,,1631.115201
14000,3.362969,,1631.891472
14000,3.360885,,1632.903362
14000,3.361142,,1632.778207
14000,3.365667,,1630.583044
14500,3.727435,,1635.776456
14500,3.722384,,1637.996026
14500,3.721959,,1638.183111
14500,3.722642,,1637.882426
14500,3.724062,,1637.257745
15000,4.157602,,1623.531913
15000,4.166961,,1619.885723
15000,4.165210,,1620.566540
15000,4.173753,,1617.249633
15000,4.156501,,1623.961902
15500,4.532772,,1643.089393
15500,4.530620,,1643.870057
15500,4.528055,,1644.801240
15500,4.532447,,1643.207343
15500,4.531497,,1643.551757
16000,5.031255,,1628.221983
16000,5.022451,,1631.076036
16000,5.017915,,1632.550561
16000,5.027800,,1629.340779
16000,5.061049,,1618.636870
16500,5.552949,,1617.924061
16500,5.545117,,1620.209242
16500,5.538554,,1622.129110
16500,5.531906,,1624.078530
16500,5.550162,,1618.736444
17000,6.040170,,1626.775461
17000,6.040488,,1626.689813
17000,6.032663,,1628.799741
17000,6.026810,,1630.381680
17000,6.045294,,1625.396560
17500,6.594584,,1625.386712
17500,6.568364,,1631.875221
17500,6.569816,,1631.514372
17500,6.603268,,1623.249187
17500,6.551670,,1636.033149
18000,7.128361,,1636.280664
18000,7.158838,,1629.314809
18000,7.143359,,1632.845222
18000,7.138448,,1633.968556
18000,7.138992,,1633.844001
18500,7.791295,,1625.307489
18500,7.793551,,1624.837014
18500,7.819848,,1619.372954
18500,7.788256,,1625.941632
18500,7.799496,,1623.598590
19000,8.436988,,1625.935711
19000,8.421436,,1628.938296
19000,8.440303,,1625.297074
19000,8.449752,,1623.479667
19000,8.434682,,1626.380245
19500,9.072997,,1634.493071
19500,9.034198,,1641.512629
19500,9.083936,,1632.524746
19500,9.075609,,1634.022599
19500,9.075818,,1633.984963
20000,9.854181,,1623.676280
20000,9.845925,,1625.037801
20000,9.876149,,1620.064705
20000,9.862790,,1622.258938
20000,9.876561,,1619.997160
